question,answer
以下呱太中，誰為了引起別人注意而擺出奇怪的姿勢,荒呱
以下呱太中，誰最怕黑,妖刀姬呱
以下呱太中，誰最喜歡照鏡子,大天狗呱
以下呱太中，視力不好的是,兩面佛呱
以下呱太中，手上繫著紙鶴的是,花鳥卷呱
以下呱太中，因平衡感極差而常摔下木輪車的是,閻魔呱
以下呱太中，最給別人添麻煩的是,茨木呱
以下呱太中，最會惹麻煩的呱,茨木呱
以下幻境或結界中，哪一個能由帝釋天開啟,王之盛宴
以下技能不是帝釋天的是,雲海浮生
以下技能提供護盾保護友方的是,方圓之備
以下技能中，附加控制效果的是,暴風雪
以下技能中，哪一個無法減少隊友所受的傷害,通靈·冥蝶
以下技能中，哪一個可以封印目標式神的御魂效果,憤世嫉俗
以下技能中，哪一個是群體攻擊技能,千羽風之舞
以下技能中，能保護友方的技能是,方圓之備
以下技能中，能保護友方的技能是,風神之佑
以下技能中，能夠沉默敵人的技能是,天降之物
以下技能中，能驅散友方的減益效果的是,天之淚
以下技能中，能夠提升友方速度的技能為,餘音
以下角色中，誰不會吹笛子,酒吞童子
以下角色中，誰是玉藻前的好友,葛葉
以下結界卡中，可以獲得勾玉的是,太鼓
以下結界卡中，可以獲得金幣的是,傘室內
以下結界卡中，可以得到體力的是,鬥魚
下列哪一個不是阿修羅的技能,煉獄之門
下列哪一個不是彼岸花的技能,黃泉之海
下列哪一個不是蟬冰雪女的技能,雪走
下列哪一個不是赤影妖刀姬的技能,焚天
下列哪一個不是醜時之女的技能,穿針引線
下列哪一個不是化鯨的技能,鯨骨·開
下列哪一個不是椒圖的技能效果,冰凍攻擊目標
下列哪一個不是鐮鼬的技能,鬼襲
下列哪一個不是千姬的技能,凌波
下列哪一個不是探索關卡妖怪可能攜帶的加成,秘寶小紙人加成
下列哪一個不是鐵鼠的技能,家財萬貫
下列哪一個不是星熊童子的技能,海潮入夢
下列哪一個不是禦怨般若的技能,蝕骨
下列哪一個場景，可能出現小紙人,其餘選項皆對
以下哪個技能可以保護隊友,言靈·守
下列哪個技能可以沉默敵人,怨魂重壓
以下哪個技能可以復活隊友,桃華灼灼
以下哪個技能可以為己方提供鬼火,禍福相生
下列哪一項技能可以為友方全體獲得護盾,風神之佑
下列哪個技能可以增加己方行動條,兔子舞
下列哪個技能是嘲諷技能,堅不可破
下列哪一個技能是單體傷害技能,無我
下列哪一個技能是群體傷害技能,墮天
以下哪個技能是群體傷害技能,吸魂燈
下列哪一個技能是陰狀態的雲外鏡可施放的,雲岸淨空
以下哪個技能是治療技能,治癒之光
下列哪一個式神的技能無法降低敵方暴擊,薰
下列哪一個式神的技能無法使友方獲得護盾,惠比壽
下列哪一個式神開啟的結界有代替承受傷害的效果,白藏主
下列哪一個式神沒有復活友方的能力,白童子
下列哪一個式神沒有獲得鬼火的能力,追月神
下列哪一個式神沒有擊退行動條的能力,面靈氣
下列哪一個式神沒有驅散能力,天井下
下列哪一個式神沒有使敵方變形的能力,紙舞
下列哪一個式神沒有使敵方中毒的能力,一反木綿
下列哪一個式神沒有造成間接傷害的能力,般若
下列哪一個式神沒有召喚能力,鬼使黑
下列哪一個式神能解除眩暈效果,鬼燈
下列哪一個式神有獲得鬼火的能力,緣結神
下列哪一個式神有加速推進鬼火行動條的能力,追月神
下列哪一個是大天狗的技能,鋼鐵之羽
下列哪一個是孟婆的技能,天降之物
下列哪一個是驍浪荒川之主的特殊效果,屹立不倒
下列哪一個是薰的技能,溫柔的守護
下列哪一個是閻魔的技能,怨魂重壓
下列哪一個是真正的魚,鯽魚
下列哪一個稀有度的式神不能覺醒,N
下列哪一個效果是星熊童子附加的,眾矢之的
下列哪一個禦魂的2件套屬性不是暴擊,陰摩羅
下列哪一個禦魂的2件套屬性不是效果抵抗,針女
下列哪一個禦魂的4件套效果為初次出場時獲得鬼火,火靈
下列哪一個禦魂的4件套效果為反彈所受到的傷害,鏡姬
下列哪一個禦魂的兩件套屬性不是效果抵抗,針女
下列哪一個禦魂的四件套效果為初次出場時獲得鬼火,火靈
下列哪一個禦魂的四件套效果為反彈所受到的傷害,鏡姬
下列哪一款APP，每日簽到可獲得專屬頭像框,大神APP
下列哪一項是鬼使黑和鬼使白的工作,引導亡魂
下列何者是人體的造血器官,骨髓
下列哪些內容不可以在「圖鑑」上查看,式神等級
下列哪一類茶是半發酵茶,烏龍茶
下列哪一種方法可以獲得逢魔之魂,其餘選項皆對
以下哪一種方法可以取得蟹姬皮膚「海之大將」,協同榮譽兌換
下列哪一種方式不能獲得增加式神親密度的道具,禦靈副本
下列哪一種方式可以避開魔夢讓人陷入夢境的「強制昏倒睡眠·眼」,避免對視
下列哪一種控制效果不能被驅散,變形
下列哪一種控制效果會使自身處於無法動作,變形
下列哪一種控制效果能被驅散,封印
下列哪一種能力，是鐮鼬無法擁有的,擊退行動條
下列哪一種能力，是天劍韌心鬼切無法擁有的,無法選中
下列哪一種能力，是天井下無法擁有的,驅散控制效果
下列哪一種能力不包含在星熊童子被動技能中,減少受到的暴擊傷害
下列哪一種能力是不知火的星火結界擁有的,其餘選項皆對
下列哪一種能源不屬於清潔能源,煤炭
下列哪一種傷害，會觸發目標的被動,殘陽無影不動
下列哪一種印記與面靈氣無關,白面
以下那種方式可以避開魘夢讓人陷入夢境的「強制倒睡眠眼」,避免對視
以下皮膚中，哪一款不屬於彼岸花,月明竹幽
以下造型中，哪一款不屬於不知火,浮夢花燭
以下皮膚中，哪一款不屬於姑獲鳥,素月淺香
以下皮膚中，哪一款不屬於鬼切,琥珀龍魂
以下皮膚中，哪一款不屬於輝夜姬,風鈴彩
以下肌膚中，哪一款不屬於面靈氣,永夜無眠
以下肌膚中，哪一款不屬於妖刀姬,冬嵐之刃
以下皮膚中，哪一款不屬於玉藻前,心狐之祈
下列皮膚中，哪一款不屬於緣結神,福祿金尊
以下誰不是音柱·宇髓天元的妻子,灶門你豆子
以下式神，不能造成間接傷害的是,蟹姬
以下式神說話時會在尾句加上喵的是,九命貓
以下式神中，白髮白帽的是,鬼使白
以下式神中，白髮黑帽的是,黑童子
以下式神中，背後長有蝙蝠翅膀的是,吸血姬
以下式神中，被稱為「百物語之主」的是,青行燈
以下式神中，被稱為「森林之王」的是,山風
以下式神中，不會飛的妖怪是誰,螢草
以下式神中，不是手持扇子的是,蟹姬
以下式神中，不攜帶任何禦魂的情況下，誰的技能能造成間接傷害,山風
以下式神中，曾為家國而戰、投身戰爭的是,首無
以下式神中，曾經喜歡吃紫蘇的是,吸血姬
以下式神中，沉默寡言的是,黑童子
以下式神中，傳說能帶給人們財富的是,惠比壽
以下式神中，吹奏笛子控制妖怪們的是,大天狗
以下式神中，從畫中而生的是,花鳥卷
以下式神中，戴著面具、手持長刀的是,鴉天狗
以下式神中，對人類抱有極強恨意的是,般若
以下式神中，額頭上沒有犄角的是,椒圖
以下式神中，黑髮白帽的是,白童子
以下式神中，黑髮黑帽的是,鬼使黑
以下式神中，會吃人的是,小松丸
以下式神中，精通女紅的是,小袖之手
以下式神中，居住在森林中的是,小松丸/蟲師
以下式神中，居住在深山中的是,以津真天
以下式神中，懼怕下雨天的是,日和坊
以下式神中，覺醒前頭上沒有面具的式神是,大天狗
以下式神中，可以為人們帶來財富的是,其餘選項皆對
以下式神中，來自高天原的是,禦饌津
以下式神中，沒有翅膀的是,彼岸花/山童
以下式神中，沒有面具的是,狸貓
以下式神中，沒有手的是,燈籠鬼
以下式神中，沒有尾巴的是,雪女
以下式神中，目不能視的是,判官
以下式神中，哪一個能帶給人們財富和幸運,座敷童子
以下式神中，哪一個在攻擊沉睡目標時，不會讓其甦醒,食夢貘
以下式神中，哪一個不能開啟幻境,緊那羅
以下式神中，哪一個能為友方提供護盾,其餘選項皆對
以下式神中，哪一個無法透過受到治療恢復生命,雲外鏡
以下式神中，哪一位來自冥府,閻魔
以下式神中，哪一位生活在三途川邊,彼岸花
以下式神中，哪一位是可愛的男孩,般若
以下式神中，哪一位是可愛的女孩,紙舞/座敷童子
以下式神中，能看穿人心、閱讀他人記憶的是,百目鬼
以下式神中，人身蛇尾的是,清姬
以下式神中，人身魚尾的是,鯉魚精/椒圖
以下式神中，擅長舞蹈的是,櫻花妖
以下式神中，擅長演奏的是,妖琴師/萬年竹
以下式神中，誰被稱為鈴鹿山的少主,大岳丸
以下式神中，誰被賀茂家流放至修羅鬼道,鬼童丸
以下式神中，誰被覺稱為愛哭鬼,童女
以下式神中，誰被覺稱為酒鬼,狸貓
以下式神中，誰被覺稱為偷窺狂,河童
以下式神中，誰並沒有被戀人背叛,櫻花妖
以下式神中，誰不能使友方式神恢復血量,縛骨清姬
以下式神中，誰不能為敵方附加孤立,天劍韌心鬼切
以下式神中，誰不是水生妖怪,九命貓
以下式神中，誰不屬於鈴鹿山,瀧夜叉姬
以下式神中，誰曾是一位僧侶,青坊主
以下式神中，誰曾為迷惑鬼切化身美女,茨木童子
以下式神中，誰常常告誡人們不要靠近森林,小松丸
以下式神中，誰從小就是孤兒,小鹿男
以下式神中，誰的技能不能使敵方中毒,貓掌櫃
以下式神中，誰的技能不能造成間接傷害,蟹姬
以下式神中，誰的技能能為友方式神提升效果抵抗,白童子
以下式神中，誰的夢想是統治世界,金魚姬
以下式神中，誰的尾巴數最多,三尾狐
以下式神中，誰的武器是手裡劍,風狸
以下式神中，誰的眼睛最多,赤舌
以下式神中，誰的眼睛最少,獨眼小僧/山童/天邪鬼黃
以下式神中，誰將鈴鹿山的各項事物交予大岳丸,鈴鹿禦前
以下式神中，誰講述了入殮師和一反木綿的故事,天井下
以下式神中，誰可以幫助友方式神抵擋控制效果,花鳥卷
以下式神中，誰沒有辦法治療隊友,鳳凰火
以下式神中，誰能操縱敵方式神,帝釋天
以下式神中，誰是荒川之主口中的小矮子,金魚姬
以下式神中，誰喜歡和小妖怪們玩耍,閻魔
以下式神中，身上帶有面具的是,般若/鴉天狗
以下式神中，生活在荒川的是,金魚姬
以下式神中，聲優和其他不一樣的是,桃花妖/童男
以下式神中，手持巨大毛筆的是,判官
以下式神中，手持巨大蒲公英的是,螢草
以下式神中，手持巨大石鎚的是,山童
以下式神中，手持巨大妖刀的是誰,妖刀姬
以下式神中，手持毛筆的是,書翁
以下式神中，手持木錘和草人的是,醜時之女
以下式神中，手持扇子的是,椒圖
以下式神中，手持小折扇的是,金魚姬
以下式神中，手持小折扇的是,追月神
以下式神中，手持一桿長煙的是,食發鬼
以下式神中，手持一桿長煙的是,煙煙羅
以下式神中，手持折扇的是,荒川之主/妖狐/妖狐
以下式神中，手持紙傘的是,姑獲鳥/雨女
以下式神中，手上拿著琴的是,妖琴師/孟婆
以下式神中，手上提著燈的是,提燈小僧/兔丸
以下式神中，說話的時候會在句尾加上「喵」的是,九命貓
以下式神中，四處雲、喜歡去人跡罕至的地方的是,書翁
以下式神中，頭上插著一根箭的是,跳跳哥哥
以下式神中，頭上沒有角的是,酒吞童子
以下式神中，為了躲避人類追捕而四處漂泊的是,以津真天
以下式神中，稀有度最低的是,星熊童子
以下式神中，稀有度最高的是,雪女
以下式神中，喜歡講故事的是,青行燈
以下式神中，喜歡搖著手鼓跳舞的是,蝴蝶精
以下式神中，想要和哥哥永遠在一起的是,傀儡師
以下式神中，血量越低、技能攻擊傷害越高的是,吸血姬
以下式神中，以面色鮮紅的形像出現的是,提燈小僧
以下式神中，以僧侶形象登場的是,其餘選項皆對
以下式神中，因曾連累過朋友而感到自責的是,狸貓
以下式神中，由竹子所化的是,萬年竹
以下式神中，有兄弟或姊妹的是,童男/童女/鬼使黑/鬼使白/跳跳弟弟/跳跳哥哥/跳跳妹妹
以下式神中，魚頭人身的是,海坊主
以下式神中，站在地上的是,妖刀姬
以下式神中，自稱「老朽」的是,青蛙瓷器
以下式神中，自稱「小生」的是,妖狐
以下式神中，坐在鍋妖上的是,孟婆
以下武器中，哪一個屬於大岳丸,八尺瓊勾玉
以下選項中，會影響到陰陽寮順位的是,鬥技總積分
以下妖怪中，被稱為風神的是誰,一目連
以下妖怪中，能夠吞食惡夢的是,食夢貘
以下妖怪中，手持風箏的是誰,天邪鬼青
以下妖怪中，手裡把玩劍玉的是誰,天邪鬼赤
以下妖怪中，喜歡打鼓的是誰,天邪鬼黃
以下陰陽師中，誰可以復活友方式神,八百比丘尼
以下召喚物中，誰具有最高的召喚優先權,縛骨清姬的蛇靈
陰陽寮採辦的經驗加成，每次戰鬥勝利可以額外提升多少經驗獎勵,0.1
陰陽寮祈願有可能獲得什麼,式神碎片
陰陽寮宴會料理的品級不包括,良品
陰陽寮宴會每週最多開啟數次,2
陰陽寮宴會中便當包含的食材有,其餘選項皆對
陰陽寮宴會中可以吃到的料理不包括,拉麵
陰陽寮宴會中最高檔次料理是,本膳料理
陰陽師達到多少級，百鬼夜行可以邀請好友,10
陰陽師達到幾個等級可以在百鬼夜行邀請好友,10級
陰陽師等級達到多少級，百鬼夜行中才會出現SP階式神,60
陰陽師庭院中出現的掃地工小紙人的手是什麼顏色,淡紫色
陰陽宴會每週最多開啟數次,2次
櫻花妖的好朋友是誰,桃花妖
櫻花妖施放「櫻吹雪」有以下哪個效果,其餘選項皆對
螢草的治療與自身的哪個屬性相關,攻擊
永久勾玉卡多少小時可以領取一次5勾玉,6
用下列哪一種道具，是無法召喚出SSR式神的,破碎的符咒
在遊郭篇的戰鬥中，灶門炭治郎如何安撫鬼化發狂的灶門祢豆子,唱搖籃曲
遊戲劇情中，大江山鬼族之王酒吞童子被誰所擊殺,源賴光
遊戲劇情中，誰是大江山眾妖中的首領,酒吞童子
遊戲劇情中，喜歡幫助弱者、盜取田中之水，獅鼻、通體赤紅的妖怪是,赤舌
遊戲內常出現的鯉魚旗因崇鯉文化而生。 現世中，鯉魚是什麼的象徵,其餘選項皆對
遊戲中，天邪鬼一共有幾種,4種
遊戲中使用壽司來代表陰陽師的體力，這種壽司的種類是,軍艦卷
遊戲中許多式神都有對應的同人歌曲創作，《黑風凱歌》是屬於誰的,大天狗
遊戲中許多元素都與鯉魚旗有關，現世中它們是什麼節日的象徵,男孩節
與珠世同行的鬼是誰,愈史郎
宇髄天元出生什麼世家,忍者世家
禦魂「蚌精」的四件套可能觸發的效果是,獲得護盾
禦魂「貝吹坊」的四件套可能觸發的效果是,抵抗傷害
禦魂「兵主部」的兩件套可能觸發的效果是,攻擊加成
禦魂「出世螺」的四件套可能觸發的效果是,恢復生命
禦魂「地藏像」的四件套可能觸發的效果是,獲得護盾
禦魂「反枕」的四件套可能觸發的效果是,使目標沉睡
禦魂「返魂香」的四件套可能觸發的效果是,暈眩傷害者
禦魂「共潛」的四件套可能觸發的效果是,驅散負面狀態
禦魂「海月火玉」的四件組可能觸發的效果是,傷害提升
禦魂「火靈」的四件套可能觸發的效果是,獲得鬼火
禦魂「輪入道」的四件套可能觸發的效果是,獲得額外行動機會
禦魂「木魅」的兩件套可能觸發的效果是,防禦加成
禦魂「木魅」的四件套可能觸發的效果是,削減鬼火
禦魂「涅槃之火」的四件套可能觸發的效果是,回復生命
禦魂「破勢」的兩件套可能觸發的效果是,暴擊加成
禦魂「青女房」的兩件套可能觸發的效果是,暴擊加成
禦魂「日女日時」的四件套可能觸發的效果是,擊退行動條
禦魂「樹妖」的四件套可能觸發的效果是,治療加成
禦魂「塗佛」的兩件套可能觸發的效果是,生命加成
禦魂「網切」的四件套可能觸發的效果是,無視目標部分防禦
禦魂「心眼」的兩件套可能觸發的效果是,攻擊加成
禦魂「雪幽魂」的四件套可能觸發的效果是,冰凍目標
禦魂「雜魂」的四件套可能觸發的效果是,分擔傷害
禦魂「招財貓」的四件套可能觸發的效果是,獲得鬼火
禦魂「珍珠」的四件套可能觸發的效果是,使被治療目標獲得護盾
禦魂「猙」的四件套可能觸發的效果是,反擊
禦魂「薙魂」的兩件套可能觸發的效果是,生命加成
禦行達摩的眼睛是怎樣的,左黑右白
禦怨般若的仇恨印記最多有幾層,9
禦怨般若獲得「仇恨印記」的上限數量是,9
禦饌津的真實身分是什麼,稻荷神
緣結神共能賜予友方式神幾種緣結,4
源博雅對於做什麼事情沒有抵抗力,與強者比試
雲外鏡陽狀態下，曇無造成的傷害與自身的哪個屬性有關,防禦
在愛上鯉的美劇情中，擄走鯉魚精的妖怪是誰,妖狐
在大岳丸放逐敵方目標過程中，普攻增加下列哪一種效果,其餘選項皆對
在斷橋上一直等待夫君歸來的妖怪是,雨女
在畫畫的時候，如果綠色顏料用完了，可以用哪幾種顏色混合,混合黃色和藍色
在劇情中，最初的那一隻食夢貘吞噬了誰的惡夢,黑晴明
在滿足什麼條件後，就能夠更換式神皮膚,覺醒
在平安百物語中的鐵鼠軼事劇情裡，鐵鼠騙取了誰的錢財,鐮鼬
在平安京大街上賽跑的妖怪們是,山兔和孟婆
在七角山秘聞劇情中，誰幫助晴明尋找白狼,螢草
在炎熱的夏天，狗狗透過什麼方式散熱,張口呼吸
在主線劇情中，身體被枷鎖束縛的是,跳跳弟弟
在座敷童子劇情中，座敷童子為了誰而抓走小妖怪,母親
爐門祢豆子木箱原料-霧雲杉擁有何種特徵,非常輕
爐門祢豆子平常咬在嘴裡的東西是,竹筒
爐門祢豆子透過哪種方式恢復體力,睡覺
灶門祢豆子咬的竹筒是誰讓她咬的,富岡義勇
爐門祢豆子咬竹筒是因為,防止傷人
灶門炭治郎第一次見到列車時認為它是,土地守護神
灶門炭治郎的日輪刀顏色是,黑色
灶門炭治郎的頭髮是什麼顏色,偏紅色
灶門炭治郎第一次見到鬼舞辻無慘是在,東京府淺草
灶門炭治郎額頭的疤痕是怎麼出現的,被火盆燙傷
灶門炭治郎額頭的傷疤是為了保護誰留下的,弟弟
灶門炭治郎額頭的傷疤是怎麼出現的,被火盆燙傷
灶門炭治郎潛入遊郭「荻本屋」時化名為,炭子
灶門炭治郎使用的水之呼吸有幾種招式,十種
灶門炭治郎使用哪一招式砍斷了下弦之壹，魘夢的脖子,火之神神樂
灶門炭治郎無法面不改色做的事情是,撒謊
灶門炭治郎遇到鬼舞社無慘時，對方抱著的小孩對無慘的稱呼是,爸爸
灶門炭治郎在參與「最終選拔」時遇到的鬼是誰,手鬼
灶門炭治郎在機能恢復訓練時吹破了什麼東西,葫蘆
灶門炭治郎在哪裡參加了「最終選拔」,藤襲山
灶門炭治郎遭遇的第一個「十二鬼月」是誰,累
戰鬥開始時，處於陽狀態的雲外鏡，能獲得以下哪個效果,鏡佑
長生果指的是什麼,花生
招福達摩的眼睛是怎樣的,都是白色
召喚新式神需要消耗的道具是,神秘的符咒
鴯的哪個部位有劇毒,羽毛
薙魂兩件套觸發效果,生命加成
中暑的時候該喝什麼,鹽水
子時是什麼時候,23點-1點
自然界中，有「智慧元素」之稱的是,碘
組隊挑戰巫女大蛇·悲鳴時，需要消耗多少體力,8點
組隊挑戰禦魂或覺醒副本的一到十層，需要消耗多少體力,4點
嘴平伊之助戴的頭套屬於哪一種動物,野豬
嘴平伊之助的口頭禪是,豬突猛進
嘴平伊之助第一次摘掉頭套時，我妻善逸的反應是,長得像女生一樣
嘴平伊之助戰鬥時使用幾把日輪刀,2把
最後選拔存活數天,7天
